,0,1,2,3,4,5,6
0,DataSets,CS,CR,CT,CPM,DT,DCM
1,, (Gigabytes),(bits/base),(Hours), (Gigabytes),(Hours),(Gigabytes)
2,D1,0.005,1.948,0.004,0.276,0.0,0.025
3,D2,0.002,0.428,0.002,0.38,0.0,0.036
4,D3,0.005,0.911,0.006,0.45,0.0,0.044
5,D4,0.013,1.918,0.013,0.572,0.0,0.058
6,D5,0.033,1.986,0.034,0.665,0.001,0.065
7,D6,0.047,1.513,0.058,0.665,0.001,0.065
8,D7,0.234,2.001,0.26,0.665,0.003,0.065
9,D8,0.317,1.939,0.371,0.665,0.004,0.065
10,D9,0.458,1.685,0.578,0.665,0.006,0.065
11,D10,0.126,0.374,0.531,0.665,0.003,0.065
12,D11,0.601,1.578,0.831,0.665,0.009,0.065
13,D12,0.242,0.544,0.366,0.665,0.004,0.065
14,D13,0.436,0.885,0.865,0.664,0.007,0.065
15,D14,0.369,0.724,0.542,0.665,0.007,0.065
16,D15,0.705,1.395,1.099,0.665,0.01,0.065
17,D16,0.518,0.921,1.021,0.665,0.009,0.065
18,D17,0.998,1.655,1.341,0.665,0.014,0.065
19,D18,1.232,1.764,1.533,0.665,0.016,0.065
20,D19,0.548,0.735,1.008,0.665,0.009,0.065
21,D20,1.152,1.509,1.54,0.665,0.015,0.065
22,D21,1.448,1.88,1.713,0.665,0.016,0.065
23,D22,1.232,1.545,1.625,0.665,0.014,0.065
24,D23,1.472,1.848,1.698,0.665,0.019,0.065
25,D24,1.603,1.742,1.957,0.665,0.021,0.065
26,D25,1.839,1.814,2.176,0.665,0.024,0.065
27,D26,3.322,1.775,4.064,0.665,0.036,0.065
28,D27,2.663,1.413,3.794,0.665,0.038,0.065
29,D28,2.297,1.098,4.309,0.665,0.03,0.065
30,D29,4.211,1.952,4.856,0.665,0.048,0.065
31,D30,4.146,1.698,5.002,0.665,0.056,0.065
32,D31,4.989,1.716,6.063,0.665,0.067,0.065
33,WAvgCR,AvgCR,TotalCT,MaxCPM,TotalDT,MaxDPM,CV
34,(bits/base),(bits/base),(Hours),(Gigabytes),(Hours),(Gigabytes),%
35,1.533,1.448,49.26,0.665,0.487,0.065,8.926
