,0,1,2,3,4,5,6
0,DataSets,CS,CR,CT,CPM,DT,DCM
1,, (Gigabytes),(bits/base),(Hours), (Gigabytes),(Hours),(Gigabytes)
2,D1,0.007,2.46,0.003,0.022,0.0,0.002
3,D2,0.002,0.481,0.004,0.022,0.0,0.002
4,D3,0.007,1.418,0.004,0.022,0.0,0.002
5,D4,0.017,2.468,0.005,0.022,0.0,0.002
6,D5,0.041,2.504,0.013,0.022,0.0,0.002
7,D6,0.069,2.207,0.023,0.022,0.001,0.002
8,D7,0.284,2.427,0.086,0.023,0.002,0.002
9,D8,0.405,2.48,0.124,0.022,0.003,0.002
10,D9,0.643,2.363,0.196,0.022,0.004,0.002
11,D10,0.796,2.367,0.253,0.022,0.005,0.002
12,D11,0.842,2.21,0.287,0.022,0.006,0.002
13,D12,0.333,0.749,0.363,0.022,0.004,0.002
14,D13,1.038,2.11,0.393,0.022,0.006,0.002
15,D14,0.504,0.99,0.413,0.022,0.005,0.002
16,D15,1.228,2.431,0.38,0.023,0.007,0.002
17,D16,1.216,2.163,0.446,0.023,0.008,0.002
18,D17,1.343,2.228,0.462,0.022,0.009,0.002
19,D18,1.643,2.353,0.532,0.022,0.009,0.002
20,D19,1.127,1.513,0.6,0.023,0.009,0.002
21,D20,1.767,2.315,0.561,0.022,0.01,0.002
22,D21,1.854,2.408,0.582,0.022,0.011,0.002
23,D22,1.872,2.348,0.586,0.022,0.012,0.002
24,D23,1.866,2.342,0.59,0.022,0.01,0.002
25,D24,2.144,2.331,0.696,0.022,0.013,0.002
26,D25,2.349,2.318,0.758,0.022,0.012,0.002
27,D26,4.431,2.367,1.424,0.022,0.024,0.002
28,D27,4.417,2.344,1.394,0.023,0.025,0.002
29,D28,1.566,0.749,1.63,0.023,0.015,0.002
30,D29,5.272,2.444,1.642,0.022,0.029,0.002
31,D30,5.424,2.221,1.821,0.022,0.029,0.002
32,D31,6.531,2.246,2.191,0.022,0.033,0.002
33,WAvgCR,AvgCR,TotalCT,MaxCPM,TotalDT,MaxDPM,CV
34,(bits/base),(bits/base),(Hours),(Gigabytes),(Hours),(Gigabytes),%
35,2.1,2.076,18.462,0.023,0.301,0.002,10.191
