,0,1,2,3,4,5,6
0,DataSets,CS,CR,CT,CPM,DT,DCM
1,, (Gigabytes),(bits/base),(Hours), (Gigabytes),(Hours),(Gigabytes)
2,D1,0.006,1.959,0.019,0.217,0.0,0.018
3,D2,0.002,0.36,0.024,0.191,0.0,0.017
4,D3,0.004,0.824,0.032,0.201,0.0,0.017
5,D4,0.013,1.935,0.047,0.202,0.0,0.017
6,D5,0.035,2.124,0.114,0.198,0.001,0.017
7,D6,0.048,1.559,0.207,0.243,0.001,0.017
8,D7,0.243,2.074,0.89,0.226,0.003,0.017
9,D8,0.326,1.996,1.205,0.228,0.003,0.017
10,D9,0.519,1.907,1.88,0.231,0.005,0.017
11,D10,0.24,0.713,1.924,0.222,0.003,0.017
12,D11,0.567,1.488,2.707,0.244,0.005,0.017
13,D12,0.212,0.477,3.022,0.191,0.003,0.017
14,D13,0.363,0.738,3.242,0.254,0.004,0.017
15,D14,0.338,0.665,3.425,0.2,0.003,0.017
16,D15,0.893,1.768,3.514,0.229,0.008,0.017
17,D16,0.444,0.79,3.692,0.251,0.004,0.017
18,D17,0.969,1.607,4.247,0.238,0.01,0.019
19,D18,1.362,1.951,4.921,0.228,0.014,0.017
20,D19,0.468,0.628,4.858,0.209,0.005,0.017
21,D20,1.369,1.794,5.55,0.229,0.012,0.018
22,D21,1.596,2.073,5.474,0.226,0.016,0.017
23,D22,1.466,1.838,5.274,0.228,0.013,0.018
24,D23,1.564,1.963,5.698,0.226,0.02,0.019
25,D24,1.724,1.874,6.571,0.228,0.02,0.017
26,D25,1.983,1.956,7.219,0.228,0.018,0.017
27,D26,3.701,1.977,13.137,0.225,0.032,0.017
28,D27,3.092,1.641,12.148,0.229,0.029,0.017
29,D28,1.114,0.532,9.955,0.256,0.017,0.017
30,D29,4.313,1.999,15.061,0.228,0.041,0.017
31,D30,4.433,1.815,16.544,0.229,0.052,0.019
32,D31,5.345,1.838,19.752,0.228,0.051,0.018
33,WAvgCR,AvgCR,TotalCT,MaxCPM,TotalDT,MaxDPM,CV
34,(bits/base),(bits/base),(Hours),(Gigabytes),(Hours),(Gigabytes),%
35,1.594,1.512,162.353,0.256,0.393,0.019,10.462
