,0,1,2,3,4,5,6
0,DataSets,CS,CR,CT,CPM,DT,DCM
1,, (Gigabytes),(bits/base),(Hours), (Gigabytes),(Hours),(Gigabytes)
2,D1,0.005,1.897,0.001,0.119,0.001,0.123
3,D2,0.002,0.397,0.001,0.119,0.0,0.122
4,D3,0.004,0.825,0.001,0.128,0.001,0.132
5,D4,0.013,1.922,0.002,0.159,0.001,0.137
6,D5,0.032,1.928,0.004,0.159,0.003,0.153
7,D6,0.046,1.487,0.007,0.158,0.004,0.153
8,D7,0.226,1.932,0.028,0.159,0.019,0.153
9,D8,0.317,1.942,0.039,0.159,0.027,0.153
10,D9,0.506,1.861,0.063,0.158,0.043,0.151
11,D10,0.484,1.439,0.07,0.158,0.041,0.152
12,D11,0.712,1.868,0.089,0.159,0.059,0.153
13,D12,0.184,0.414,0.068,0.157,0.027,0.152
14,D13,0.61,1.24,0.094,0.159,0.054,0.153
15,D14,0.294,0.577,0.083,0.158,0.036,0.153
16,D15,0.964,1.908,0.118,0.159,0.08,0.153
17,D16,0.717,1.275,0.108,0.159,0.062,0.153
18,D17,1.118,1.855,0.142,0.159,0.094,0.153
19,D18,1.281,1.835,0.159,0.159,0.11,0.152
20,D19,0.587,0.787,0.128,0.158,0.061,0.153
21,D20,1.369,1.794,0.173,0.158,0.116,0.152
22,D21,1.46,1.896,0.18,0.159,0.125,0.153
23,D22,1.459,1.829,0.18,0.158,0.123,0.152
24,D23,1.45,1.82,0.184,0.159,0.124,0.153
25,D24,1.639,1.782,0.207,0.158,0.139,0.153
26,D25,1.84,1.815,0.23,0.158,0.157,0.152
27,D26,3.487,1.863,0.426,0.159,0.294,0.153
28,D27,3.387,1.797,0.423,0.159,0.279,0.153
29,D28,1.272,0.608,0.329,0.158,0.145,0.152
30,D29,4.155,1.926,0.508,0.159,0.346,0.153
31,D30,4.208,1.723,0.536,0.158,0.359,0.152
32,D31,5.072,1.744,0.642,0.158,0.43,0.152
33,WAvgCR,AvgCR,TotalCT,MaxCPM,TotalDT,MaxDPM,CV
34,(bits/base),(bits/base),(Hours),(Gigabytes),(Hours),(Gigabytes),%
35,1.6,1.548,5.223,0.159,3.36,0.153,8.994
