,0,1,2,3,4,5,6
0,DataSets,CS,CR,CT,CPM,DT,DCM
1,, (Gigabytes),(bits/base),(Hours), (Gigabytes),(Hours),(Gigabytes)
2,D1,0.005,1.672,0.002,2.037,0.001,1.922
3,D2,0.002,0.36,0.004,1.656,0.001,1.632
4,D3,0.005,0.876,0.003,1.76,0.001,1.649
5,D4,0.011,1.599,0.003,1.868,0.002,1.665
6,D5,0.032,1.914,0.004,2.353,0.003,1.688
7,D6,0.046,1.472,0.008,2.501,0.006,1.752
8,D7,0.193,1.652,0.067,3.454,0.021,1.877
9,D8,0.199,1.216,0.025,5.073,0.027,2.034
10,D9,0.34,1.249,45.521,14.96,0.053,2.259
11,D10,0.079,0.233,0.172,10.456,0.063,2.456
12,D11,0.391,1.026,0.05,11.209,0.048,2.445
13,D12,0.198,0.445,0.259,11.211,0.076,2.862
14,D13,0.329,0.667,0.184,11.209,0.047,2.815
15,D14,0.341,0.669,0.296,11.208,0.097,3.059
16,D15,0.265,0.524,0.138,11.21,0.087,2.826
17,D16,0.402,0.715,0.214,11.211,0.109,2.975
18,D17,0.605,1.003,0.078,11.211,0.074,3.437
19,D18,0.29,0.415,0.151,11.212,0.111,3.301
20,D19,0.45,0.604,0.381,11.21,0.138,3.458
21,D20,0.112,0.147,0.243,11.21,0.105,3.432
22,D21,0.323,0.419,0.203,12.407,0.169,3.501
23,D22,0.112,0.14,0.262,11.211,0.111,3.511
24,D23,1.007,1.264,0.186,11.212,0.147,3.496
25,D24,0.533,0.579,0.222,13.435,0.157,3.782
26,D25,0.526,0.518,0.236,15.797,0.198,4.028
27,D26,0.418,0.223,0.497,21.751,0.269,5.949
28,D27,0.209,0.11,0.744,17.953,0.316,5.976
29,D28,0.982,0.469,0.85,13.026,0.181,6.416
30,D29,2.515,1.166,0.304,13.466,0.342,6.566
31,D30,0.816,0.334,0.654,28.585,0.464,7.497
32,D31,0.86,0.296,0.816,32.674,0.499,8.634
33,WAvgCR,AvgCR,TotalCT,MaxCPM,TotalDT,MaxDPM,CV
34,(bits/base),(bits/base),(Hours),(Gigabytes),(Hours),(Gigabytes),%
35,0.518,0.773,52.777,32.674,3.923,8.634,9.174
