,0,1,2,3,4,5,6
0,DataSets,CS,CR,CT,CPM,DT,DCM
1,, (Gigabytes),(bits/base),(Hours), (Gigabytes),(Hours),(Gigabytes)
2,D1,0.005,1.908,0.001,0.062,0.001,0.054
3,D2,0.004,0.842,0.001,0.059,0.002,0.05
4,D3,0.007,1.373,0.001,0.062,0.002,0.046
5,D4,0.013,1.937,0.002,0.062,0.003,0.052
6,D5,0.032,1.948,0.004,0.059,0.007,0.048
7,D6,0.057,1.822,0.008,0.06,0.013,0.052
8,D7,0.225,1.927,0.026,0.062,0.044,0.048
9,D8,0.319,1.951,0.033,0.06,0.065,0.05
10,D9,0.509,1.872,0.051,0.059,0.102,0.054
11,D10,0.654,1.943,0.065,0.062,0.139,0.046
12,D11,0.73,1.916,0.033,0.057,0.092,0.044
13,D12,0.308,0.693,0.088,0.06,0.167,0.048
14,D13,0.896,1.822,0.039,0.059,0.118,0.05
15,D14,0.464,0.911,0.103,0.057,0.202,0.048
16,D15,0.982,1.945,0.101,0.062,0.203,0.048
17,D16,1.033,1.837,0.123,0.062,0.228,0.046
18,D17,1.126,1.867,0.05,0.059,0.145,0.044
19,D18,1.326,1.9,0.115,0.059,0.249,0.05
20,D19,1.296,1.74,0.155,0.06,0.298,0.046
21,D20,1.478,1.937,0.125,0.059,0.26,0.05
22,D21,1.469,1.908,0.156,0.062,0.303,0.052
23,D22,1.545,1.938,0.127,0.062,0.265,0.05
24,D23,1.499,1.882,0.171,0.059,0.316,0.056
25,D24,1.728,1.878,0.159,0.062,0.338,0.052
26,D25,1.891,1.866,0.175,0.064,0.375,0.052
27,D26,3.553,1.898,0.303,0.059,0.644,0.046
28,D27,3.657,1.941,0.327,0.064,0.694,0.05
29,D28,4.098,1.96,0.17,0.055,0.498,0.044
30,D29,4.164,1.93,0.418,0.06,0.821,0.05
31,D30,4.503,1.844,0.46,0.062,0.911,0.05
32,D31,5.396,1.856,0.519,0.059,1.066,0.05
33,WAvgCR,AvgCR,TotalCT,MaxCPM,TotalDT,MaxDPM,CV
34,(bits/base),(bits/base),(Hours),(Gigabytes),(Hours),(Gigabytes),%
35,1.85,1.774,4.109,0.064,8.571,0.056,5.957
