,0,1,2,3,4,5,6
0,DataSets,CS,CR,CT,CPM,DT,DCM
1,, (Gigabytes),(bits/base),(Hours), (Gigabytes),(Hours),(Gigabytes)
2,D1,0.005,1.916,0.003,0.065,0.017,0.492
3,D2,0.002,0.36,0.002,0.066,0.023,0.79
4,D3,0.004,0.821,0.002,0.067,0.029,0.812
5,D4,0.013,1.892,0.003,0.068,0.041,0.838
6,D5,0.032,1.926,0.005,0.079,0.049,1.685
7,D6,0.045,1.448,0.01,0.095,0.051,3.247
8,D7,0.218,1.866,0.036,0.165,0.075,11.989
9,D8,0.307,1.88,0.052,0.165,0.134,12.862
10,D9,0.464,1.705,0.095,0.166,0.207,12.813
11,D10,0.277,0.823,0.112,0.166,0.227,12.831
12,D11,0.654,1.717,0.123,0.166,0.274,12.858
13,D12,0.163,0.367,0.173,0.167,0.294,12.826
14,D13,0.519,1.055,0.171,0.166,0.327,12.855
15,D14,0.278,0.546,0.186,0.167,0.356,12.883
16,D15,0.736,1.456,0.171,0.166,0.368,12.861
17,D16,0.616,1.096,0.192,0.166,0.388,12.866
18,D17,1.082,1.795,0.203,0.165,0.398,12.847
19,D18,1.131,1.62,0.248,0.167,0.467,12.691
20,D19,0.433,0.581,0.279,0.176,0.502,12.795
21,D20,1.12,1.468,0.273,0.177,0.531,12.823
22,D21,1.336,1.735,0.277,0.178,0.527,12.795
23,D22,1.191,1.493,0.286,0.182,0.54,12.844
24,D23,1.411,1.771,0.651,35.338,0.544,12.788
25,D24,1.555,1.69,0.754,35.272,0.611,12.779
26,D25,1.735,1.711,0.809,35.358,0.674,12.705
27,D26,3.012,1.609,1.556,35.137,1.265,12.801
28,D27,2.813,1.493,1.586,35.175,1.282,12.757
29,D28,2.643,1.264,1.767,56.717,1.438,12.86
30,D29,3.978,1.844,1.841,35.399,1.464,12.949
31,D30,3.875,1.587,1.977,35.194,1.586,12.798
32,D31,4.647,1.598,2.351,35.123,1.936,12.969
33,WAvgCR,AvgCR,TotalCT,MaxCPM,TotalDT,MaxDPM,CV
34,(bits/base),(bits/base),(Hours),(Gigabytes),(Hours),(Gigabytes),%
35,1.493,1.424,16.194,56.717,16.625,12.969,8.432
