,0,1,2,3,4,5,6
0,DataSets,CS,CR,CT,CPM,DT,DCM
1,, (Gigabytes),(bits/base),(Hours), (Gigabytes),(Hours),(Gigabytes)
2,D1,0.005,1.853,0.015,0.502,0.015,0.502
3,D2,0.002,0.371,0.021,0.502,0.021,0.502
4,D3,0.004,0.764,0.027,0.502,0.027,0.502
5,D4,0.013,1.817,0.037,0.502,0.037,0.502
6,D5,0.031,1.865,0.087,0.502,0.088,0.502
7,D6,0.04,1.301,0.162,0.502,0.164,0.502
8,D7,0.216,1.85,0.591,0.502,0.544,0.502
9,D8,0.29,1.778,0.765,0.502,0.759,0.502
10,D9,0.427,1.571,1.306,0.502,1.263,0.502
11,D10,0.17,0.506,1.433,0.502,1.384,0.502
12,D11,0.609,1.597,1.541,0.502,1.556,0.502
13,D12,0.158,0.356,1.702,0.502,1.728,0.502
14,D13,0.443,0.901,2.008,0.502,2.016,0.502
15,D14,0.255,0.502,1.972,0.502,1.998,0.502
16,D15,0.672,1.33,2.08,0.502,2.103,0.502
17,D16,0.522,0.928,2.292,0.502,2.314,0.502
18,D17,1.013,1.68,2.47,0.502,2.497,0.502
19,D18,1.14,1.633,2.993,0.502,2.918,0.502
20,D19,0.402,0.54,3.094,0.502,3.166,0.502
21,D20,1.013,1.327,3.275,0.502,3.205,0.502
22,D21,1.348,1.75,3.194,0.502,3.214,0.502
23,D22,1.087,1.363,3.392,0.502,3.461,0.502
24,D23,1.342,1.685,3.413,0.502,3.626,0.502
25,D24,1.448,1.574,4.089,0.502,4.122,0.502
26,D25,1.691,1.668,4.527,0.502,4.538,0.502
27,D26,3.116,1.664,8.334,0.502,8.243,0.502
28,D27,2.414,1.281,8.168,0.502,8.16,0.502
29,D28,2.193,1.049,9.042,0.502,9.053,0.502
30,D29,3.827,1.774,9.268,0.502,9.316,0.502
31,D30,3.786,1.55,10.429,0.502,10.214,0.502
32,D31,4.554,1.566,16.864,0.502,15.778,0.502
33,WAvgCR,AvgCR,TotalCT,MaxCPM,TotalDT,MaxDPM,CV
34,(bits/base),(bits/base),(Hours),(Gigabytes),(Hours),(Gigabytes),%
35,1.408,1.335,108.591,0.502,107.528,0.502,8.599
