,0,1,2,3,4,5,6
0,DataSets,CS,CR,CT,CPM,DT,DCM
1,, (Gigabytes),(bits/base),(Hours), (Gigabytes),(Hours),(Gigabytes)
2,D1,0.005,1.87,0.008,4.814,0.008,4.814
3,D2,0.002,0.375,0.007,4.814,0.007,4.814
4,D3,0.004,0.757,0.011,4.814,0.012,4.814
5,D4,0.013,1.824,0.018,4.814,0.018,4.814
6,D5,0.031,1.881,0.04,4.814,0.041,4.814
7,D6,0.04,1.296,0.079,4.814,0.081,4.814
8,D7,0.219,1.871,0.278,4.814,0.279,4.814
9,D8,0.285,1.745,0.398,4.814,0.403,4.814
10,D9,0.387,1.423,0.608,4.814,0.618,4.814
11,D10,0.106,0.315,0.674,4.814,0.701,4.814
12,D11,0.562,1.476,0.908,4.814,0.939,4.814
13,D12,0.155,0.35,0.629,4.814,0.648,4.814
14,D13,0.341,0.692,1.083,4.814,1.102,4.814
15,D14,0.252,0.495,0.804,4.814,0.851,4.814
16,D15,0.4,0.791,1.09,4.814,1.101,4.814
17,D16,0.401,0.712,1.26,4.814,1.255,4.814
18,D17,0.928,1.54,1.392,4.814,1.397,4.814
19,D18,0.767,1.098,1.445,4.814,1.466,4.814
20,D19,0.374,0.502,1.521,4.814,1.634,4.814
21,D20,0.16,0.21,1.561,4.814,1.601,4.814
22,D21,0.964,1.251,1.689,4.814,1.761,4.814
23,D22,0.166,0.208,1.621,4.814,1.657,4.814
24,D23,1.28,1.607,1.755,4.814,1.838,4.814
25,D24,1.195,1.299,2.041,4.814,2.083,4.814
26,D25,1.394,1.375,2.127,4.814,2.237,4.814
27,D26,2.058,1.1,3.965,4.814,4.013,4.814
28,D27,0.554,0.293,3.94,4.814,4.101,4.814
29,D28,1.012,0.484,4.887,4.814,4.399,4.814
30,D29,3.826,1.773,4.809,4.814,4.854,4.814
31,D30,3.201,1.311,5.178,4.814,5.192,4.814
32,D31,3.839,1.32,6.112,4.814,6.185,4.814
33,WAvgCR,AvgCR,TotalCT,MaxCPM,TotalDT,MaxDPM,CV
34,(bits/base),(bits/base),(Hours),(Gigabytes),(Hours),(Gigabytes),%
35,1.025,1.072,51.938,4.814,52.482,4.814,10.051
