,0,1,2,3,4,5,6
0,DataSets,CS,CR,CT,CPM,DT,DCM
1,, (Gigabytes),(bits/base),(Hours), (Gigabytes),(Hours),(Gigabytes)
2,D1,0.006,1.957,0.0,0.076,0.0,0.054
3,D2,0.002,0.376,0.003,0.393,0.0,0.065
4,D3,0.005,0.929,0.004,0.456,0.0,0.081
5,D4,0.014,1.968,0.0,0.161,0.0,0.119
6,D5,0.033,1.999,0.001,0.378,0.0,0.259
7,D6,0.055,1.758,0.002,0.942,0.001,0.947
8,D7,0.229,1.957,0.002,0.813,0.001,0.787
9,D8,0.321,1.966,0.001,0.904,0.001,0.816
10,D9,0.531,1.953,0.003,0.652,0.001,0.769
11,D10,0.662,1.967,0.003,0.631,0.001,0.853
12,D11,0.643,1.686,0.076,2.963,0.001,0.738
13,D12,0.229,0.515,0.069,2.918,0.001,0.665
14,D13,0.913,1.856,0.004,0.659,0.001,0.846
15,D14,0.361,0.709,0.081,2.908,0.001,0.708
16,D15,0.996,1.972,0.004,0.669,0.001,0.766
17,D16,1.049,1.866,0.005,0.623,0.001,0.8
18,D17,1.061,1.76,0.114,3.005,0.002,0.685
19,D18,1.346,1.928,0.006,1.151,0.003,1.03
20,D19,0.587,0.787,0.122,2.852,0.002,1.314
21,D20,1.506,1.973,0.006,0.931,0.003,0.836
22,D21,1.485,1.929,0.006,0.664,0.003,0.792
23,D22,1.577,1.978,0.008,0.709,0.003,0.74
24,D23,1.547,1.942,0.006,0.875,0.003,0.761
25,D24,1.782,1.938,0.01,0.617,0.004,0.75
26,D25,1.964,1.937,0.008,0.796,0.004,0.749
27,D26,3.606,1.926,0.015,0.651,0.007,0.742
28,D27,3.722,1.975,0.014,0.709,0.009,0.739
29,D28,4.133,1.977,0.015,0.523,0.008,0.725
30,D29,4.18,1.938,0.018,0.567,0.009,0.726
31,D30,4.705,1.926,0.016,0.745,0.009,0.759
32,D31,5.111,1.758,0.134,1.707,0.055,1.848
33,WAvgCR,AvgCR,TotalCT,MaxCPM,TotalDT,MaxDPM,CV
34,(bits/base),(bits/base),(Hours),(Gigabytes),(Hours),(Gigabytes),%
35,1.825,1.713,0.756,3.005,0.135,1.848,8.496
