,0,1,2,3,4,5,6
0,DataSets,CS,CR,CT,CPM,DT,DCM
1,, (Gigabytes),(bits/base),(Hours), (Gigabytes),(Hours),(Gigabytes)
2,D1,0.006,2.14,0.004,0.07,0.0,0.009
3,D2,0.002,0.481,0.009,0.07,0.0,0.005
4,D3,0.006,1.178,0.007,0.073,0.0,0.009
5,D4,0.015,2.149,0.009,0.073,0.0,0.009
6,D5,0.036,2.168,0.02,0.073,0.0,0.009
7,D6,0.059,1.893,0.037,0.073,0.001,0.006
8,D7,0.252,2.158,0.134,0.071,-0.001,0.006
9,D8,0.353,2.162,0.191,0.071,0.001,0.009
10,D9,0.565,2.079,0.312,0.073,0.002,0.009
11,D10,0.617,1.834,0.411,0.071,0.002,0.006
12,D11,0.74,1.943,0.406,0.071,0.003,0.006
13,D12,0.306,0.688,0.795,0.071,0.002,0.006
14,D13,0.79,1.605,0.6,0.071,0.003,0.009
15,D14,0.456,0.897,0.801,0.073,0.003,0.006
16,D15,1.069,2.115,0.536,0.073,0.003,0.009
17,D16,0.935,1.662,0.676,0.07,0.001,0.009
18,D17,1.19,1.975,0.659,0.072,0.004,0.007
19,D18,1.421,2.035,0.765,0.073,0.004,0.009
20,D19,0.804,1.079,1.046,0.073,0.002,0.009
21,D20,1.515,1.984,0.841,0.074,0.004,0.009
22,D21,1.618,2.101,0.806,0.073,0.004,0.007
23,D22,1.611,2.02,0.829,0.072,0.004,0.009
24,D23,1.637,2.055,0.791,0.074,0.004,0.009
25,D24,1.863,2.025,0.943,0.071,0.006,0.006
26,D25,2.063,2.035,1.09,0.074,0.007,0.006
27,D26,3.846,2.055,1.973,0.073,0.008,0.009
28,D27,3.762,1.997,2.051,0.073,0.008,0.006
29,D28,1.415,0.676,5.046,0.072,0.008,0.006
30,D29,4.644,2.153,2.278,0.073,0.013,0.009
31,D30,4.763,1.95,2.714,0.07,0.013,0.009
32,D31,5.727,1.97,3.197,0.071,0.016,0.009
33,WAvgCR,AvgCR,TotalCT,MaxCPM,TotalDT,MaxDPM,CV
34,(bits/base),(bits/base),(Hours),(Gigabytes),(Hours),(Gigabytes),%
35,1.813,1.783,29.977,0.074,0.125,0.009,8.869
