,0,1,2,3,4,5,6
0,DataSets,CS,CR,CT,CPM,DT,DCM
1,, (Gigabytes),(bits/base),(Hours), (Gigabytes),(Hours),(Gigabytes)
2,D1,0.009,3.032,0.004,0.007,0.0,0.007
3,D2,0.003,0.597,0.001,0.006,0.0,0.005
4,D3,0.01,1.926,0.004,0.007,0.0,0.009
5,D4,0.021,3.057,0.007,0.007,0.0,0.007
6,D5,0.051,3.079,0.018,0.006,0.0,0.009
7,D6,0.087,2.789,0.03,0.007,0.0,0.009
8,D7,0.354,3.028,0.121,0.008,0.001,0.007
9,D8,0.504,3.083,0.177,0.008,-0.001,0.009
10,D9,0.803,2.95,0.273,0.007,0.003,0.006
11,D10,1.028,3.055,0.364,0.008,0.002,0.009
12,D11,1.012,2.657,0.348,0.006,0.004,0.006
13,D12,0.439,0.988,0.136,0.007,0.0,0.009
14,D13,1.418,2.882,0.493,0.006,0.004,0.006
15,D14,0.664,1.305,0.21,0.006,0.003,0.009
16,D15,1.543,3.055,0.532,0.006,0.003,0.009
17,D16,1.64,2.916,0.568,0.007,0.003,0.006
18,D17,1.631,2.705,0.551,0.006,0.002,0.006
19,D18,2.058,2.948,0.739,0.006,0.004,0.009
20,D19,1.86,2.497,0.631,0.007,0.004,0.009
21,D20,2.25,2.948,0.781,0.007,0.005,0.009
22,D21,2.3,2.987,0.83,0.007,0.005,0.006
23,D22,2.356,2.955,0.812,0.007,0.004,0.009
24,D23,2.339,2.936,0.811,0.008,0.005,0.009
25,D24,2.696,2.931,0.944,0.007,0.004,0.006
26,D25,2.933,2.894,1.031,0.007,0.005,0.009
27,D26,5.531,2.955,1.996,0.006,0.008,0.009
28,D27,5.59,2.967,1.929,0.007,0.011,0.006
29,D28,2.14,1.023,0.692,0.006,0.009,0.009
30,D29,6.575,3.048,2.274,0.008,0.012,0.009
31,D30,6.824,2.794,2.419,0.006,0.016,0.009
32,D31,8.21,2.824,2.931,0.008,0.011,0.006
33,WAvgCR,AvgCR,TotalCT,MaxCPM,TotalDT,MaxDPM,CV
34,(bits/base),(bits/base),(Hours),(Gigabytes),(Hours),(Gigabytes),%
35,2.669,2.639,22.657,0.008,0.127,0.009,12.231
