,0,1,2,3,4,5,6
0,DataSets,CS,CR,CT,CPM,DT,DCM
1,, (Gigabytes),(bits/base),(Hours), (Gigabytes),(Hours),(Gigabytes)
2,D1,0.008,2.906,0.01,0.002,0.0,0.001
3,D2,0.003,0.591,0.003,0.002,0.0,0.001
4,D3,0.01,1.991,0.011,0.002,0.0,0.001
5,D4,0.02,2.905,0.024,0.002,0.0,0.001
6,D5,0.049,2.944,0.054,0.002,0.0,0.001
7,D6,0.086,2.757,0.096,0.002,0.001,0.001
8,D7,0.335,2.862,0.411,0.002,0.001,0.001
9,D8,0.477,2.923,0.599,0.002,0.002,0.001
10,D9,0.759,2.788,0.883,0.002,0.003,0.001
11,D10,0.979,2.91,1.121,0.002,0.004,0.001
12,D11,1.02,2.677,1.361,0.002,0.004,0.001
13,D12,0.433,0.975,0.479,0.002,0.003,0.001
14,D13,1.365,2.775,2.315,0.002,0.006,0.001
15,D14,0.658,1.294,0.75,0.002,0.003,0.001
16,D15,1.453,2.876,1.753,0.002,0.006,0.001
17,D16,1.575,2.801,2.615,0.002,0.005,0.001
18,D17,1.616,2.681,2.398,0.002,0.007,0.001
19,D18,1.953,2.798,2.444,0.002,0.005,0.001
20,D19,1.852,2.486,2.478,0.002,0.008,0.001
21,D20,2.135,2.798,2.463,0.002,0.006,0.001
22,D21,2.181,2.833,2.793,0.002,0.009,0.001
23,D22,2.235,2.803,3.151,0.002,0.008,0.001
24,D23,2.226,2.795,2.775,0.002,0.008,0.001
25,D24,2.584,2.809,3.223,0.002,0.009,0.001
26,D25,2.786,2.748,3.545,0.002,0.009,0.001
27,D26,5.247,2.803,6.773,0.002,0.014,0.001
28,D27,5.313,2.82,6.118,0.002,0.013,0.001
29,D28,2.275,1.088,2.534,0.002,0.012,0.001
30,D29,6.229,2.888,8.31,0.002,0.017,0.001
31,D30,6.506,2.664,8.131,0.002,0.026,0.001
32,D31,7.832,2.694,9.768,0.002,0.028,0.001
33,WAvgCR,AvgCR,TotalCT,MaxCPM,TotalDT,MaxDPM,CV
34,(bits/base),(bits/base),(Hours),(Gigabytes),(Hours),(Gigabytes),%
35,2.559,2.538,79.389,0.002,0.217,0.001,11.263
