,0,1,2,3,4,5,6
0,DataSets,CS,CR,CT,CPM,DT,DCM
1,, (Gigabytes),(bits/base),(Hours), (Gigabytes),(Hours),(Gigabytes)
2,D1,0.005,1.911,0.004,0.502,0.003,0.501
3,D2,0.002,0.425,0.003,0.502,0.003,0.501
4,D3,0.005,0.865,0.005,0.502,0.005,0.501
5,D4,0.013,1.893,0.008,0.502,0.006,0.501
6,D5,0.032,1.943,0.019,0.502,0.014,0.501
7,D6,0.046,1.48,0.034,0.502,0.033,0.501
8,D7,0.222,1.899,0.134,0.502,0.095,0.501
9,D8,0.305,1.867,0.19,0.502,0.145,0.501
10,D9,0.439,1.615,0.305,0.502,0.249,0.501
11,D10,0.16,0.476,0.367,0.502,0.4,0.501
12,D11,0.655,1.719,0.423,0.502,0.367,0.501
13,D12,0.184,0.413,0.289,0.502,0.268,0.501
14,D13,0.467,0.949,0.535,0.502,0.561,0.501
15,D14,0.297,0.584,0.376,0.502,0.326,0.501
16,D15,0.647,1.282,0.541,0.502,0.536,0.501
17,D16,0.546,0.971,0.577,0.502,0.616,0.501
18,D17,1.054,1.748,0.618,0.502,0.521,0.501
19,D18,1.097,1.571,0.743,0.502,0.697,0.501
20,D19,0.458,0.614,0.714,0.502,0.758,0.501
21,D20,0.763,1.0,0.799,0.502,0.849,0.501
22,D21,1.3,1.688,0.829,0.502,1.153,0.501
23,D22,0.815,1.021,0.826,0.502,0.886,0.501
24,D23,1.368,1.717,0.836,0.502,0.72,0.501
25,D24,1.448,1.574,0.966,0.502,0.895,0.501
26,D25,1.67,1.647,1.059,0.502,0.959,0.501
27,D26,3.02,1.613,1.994,0.502,1.874,0.501
28,D27,1.984,1.053,2.426,0.502,2.106,0.501
29,D28,1.828,0.874,2.19,0.502,2.528,0.501
30,D29,3.903,1.809,2.33,0.502,1.934,0.501
31,D30,3.786,1.55,2.518,0.502,2.293,0.501
32,D31,4.552,1.566,3.044,0.502,2.763,0.501
33,WAvgCR,AvgCR,TotalCT,MaxCPM,TotalDT,MaxDPM,CV
34,(bits/base),(bits/base),(Hours),(Gigabytes),(Hours),(Gigabytes),%
35,1.36,1.333,25.702,0.502,24.563,0.501,8.788
