,0,1,2,3,4,5,6
0,DataSets,CS,CR,CT,CPM,DT,DCM
1,, (Gigabytes),(bits/base),(Hours), (Gigabytes),(Hours),(Gigabytes)
2,D1,0.006,2.015,0.0,0.013,0.0,0.003
3,D2,0.003,0.587,0.0,0.012,0.0,0.003
4,D3,0.008,1.478,0.0,0.013,0.0,0.003
5,D4,0.014,1.996,0.0,0.009,0.0,0.003
6,D5,0.034,2.024,0.0,0.012,0.0,0.003
7,D6,0.06,1.944,0.001,0.012,0.0,0.004
8,D7,0.231,1.972,0.003,0.012,0.001,0.006
9,D8,0.323,1.975,0.003,0.012,0.001,0.008
10,D9,0.527,1.936,0.006,0.013,0.001,0.011
11,D10,0.671,1.996,0.005,0.013,0.001,0.013
12,D11,0.726,1.906,0.008,0.013,0.002,0.014
13,D12,0.388,0.873,0.006,0.013,0.002,0.016
14,D13,0.9,1.828,0.008,0.012,0.002,0.018
15,D14,0.554,1.089,0.008,0.012,0.002,0.018
16,D15,1.003,1.986,0.006,0.012,0.002,0.018
17,D16,1.045,1.858,0.007,0.012,0.002,0.02
18,D17,1.147,1.903,0.008,0.012,0.002,0.021
19,D18,1.36,1.947,0.009,0.013,0.003,0.024
20,D19,1.205,1.618,0.011,0.012,0.003,0.026
21,D20,1.468,1.924,0.01,0.01,0.003,0.026
22,D21,1.509,1.959,0.009,0.012,0.003,0.027
23,D22,1.548,1.941,0.01,0.01,0.003,0.028
24,D23,1.543,1.937,0.01,0.012,0.003,0.028
25,D24,1.787,1.942,0.012,0.012,0.003,0.031
26,D25,1.931,1.905,0.013,0.012,0.004,0.034
27,D26,3.677,1.964,0.024,0.012,0.006,0.061
28,D27,3.708,1.968,0.02,0.012,0.006,0.062
29,D28,4.199,2.008,0.022,0.012,0.007,0.068
30,D29,4.21,1.952,0.023,0.011,0.007,0.07
31,D30,4.518,1.85,0.028,0.012,0.008,0.079
32,D31,5.433,1.869,0.034,0.013,0.01,0.094
33,WAvgCR,AvgCR,TotalCT,MaxCPM,TotalDT,MaxDPM,CV
34,(bits/base),(bits/base),(Hours),(Gigabytes),(Hours),(Gigabytes),%
35,1.881,1.811,0.304,0.013,0.087,0.094,6.089
