,0,1,2,3,4,5,6
0,DataSets,CS,CR,CT,CPM,DT,DCM
1,, (Gigabytes),(bits/base),(Hours), (Gigabytes),(Hours),(Gigabytes)
2,D1,0.006,1.988,0.001,0.505,0.001,0.348
3,D2,0.002,0.418,0.005,0.451,0.001,0.067
4,D3,0.005,1.03,0.003,0.795,0.001,0.115
5,D4,0.014,1.965,0.001,0.385,0.001,0.317
6,D5,0.033,1.974,0.003,0.665,0.001,0.827
7,D6,0.049,1.565,0.007,1.169,0.001,1.374
8,D7,0.226,1.93,0.072,38.487,0.004,3.987
9,D8,0.314,1.92,0.023,6.085,0.006,5.996
10,D9,0.0,0.0,0.0,0.0,0.0,0.0
11,D10,0.089,0.263,0.259,13.693,0.004,0.858
12,D11,0.672,1.764,0.061,10.862,0.011,12.5
13,D12,0.208,0.468,13.406,19.049,0.01,1.292
14,D13,0.334,0.678,0.926,17.442,0.009,1.488
15,D14,0.34,0.668,14.921,19.314,0.013,1.513
16,D15,0.345,0.682,0.236,12.834,0.008,1.325
17,D16,0.424,0.754,1.287,18.026,0.01,1.999
18,D17,1.08,1.792,0.073,16.006,0.019,20.513
19,D18,0.401,0.574,0.229,14.335,0.009,5.406
20,D19,0.435,0.584,23.296,23.713,0.017,2.039
21,D20,0.163,0.213,0.413,15.615,0.009,1.881
22,D21,0.374,0.486,0.216,9.412,0.009,5.977
23,D22,0.162,0.203,0.372,12.939,0.009,1.915
24,D23,1.329,1.669,0.752,15.34,0.023,12.93
25,D24,0.662,0.719,0.273,13.579,0.014,10.016
26,D25,0.62,0.611,0.47,14.086,0.014,9.278
27,D26,0.43,0.229,1.032,17.623,0.019,5.274
28,D27,0.465,0.246,0.793,17.155,0.017,4.22
29,D28,1.257,0.601,1.842,19.273,0.032,4.869
30,D29,4.049,1.877,0.261,19.561,0.062,20.589
31,D30,0.879,0.359,0.719,16.629,0.026,13.671
32,D31,1.041,0.358,0.969,17.835,0.029,13.672
33,WAvgCR,AvgCR,TotalCT,MaxCPM,TotalDT,MaxDPM,CV
34,(bits/base),(bits/base),(Hours),(Gigabytes),(Hours),(Gigabytes),%
35,0.675,0.922,62.921,38.487,0.389,20.589,12.034
