,0,1,2,3,4,5,6
0,DataSets,CS,CR,CT,CPM,DT,DCM
1,, (Gigabytes),(bits/base),(Hours), (Gigabytes),(Hours),(Gigabytes)
2,D1,0.006,2.139,0.0,0.128,0.0,0.067
3,D2,0.002,0.455,0.0,0.132,0.0,0.077
4,D3,0.007,1.308,0.0,0.138,0.0,0.085
5,D4,0.015,2.15,0.0,0.138,0.0,0.091
6,D5,0.036,2.162,0.001,0.139,0.0,0.091
7,D6,0.06,1.946,0.001,0.138,0.0,0.105
8,D7,0.251,2.149,0.002,0.139,0.001,0.107
9,D8,0.356,2.18,0.001,0.139,0.001,0.105
10,D9,0.567,2.085,0.006,0.144,0.002,0.111
11,D10,0.724,2.152,0.004,0.139,0.003,0.108
12,D11,0.79,2.073,0.007,0.141,0.003,0.106
13,D12,0.303,0.682,0.01,0.139,0.003,0.109
14,D13,0.992,2.017,0.007,0.139,0.004,0.114
15,D14,0.455,0.894,0.008,0.138,0.003,0.102
16,D15,1.089,2.156,0.007,0.141,0.004,0.106
17,D16,1.152,2.048,0.01,0.139,0.003,0.105
18,D17,1.245,2.065,0.011,0.139,0.004,0.107
19,D18,1.465,2.098,0.01,0.139,0.006,0.106
20,D19,1.196,1.605,0.012,0.139,0.006,0.113
21,D20,1.603,2.1,0.012,0.139,0.006,0.11
22,D21,1.637,2.125,0.013,0.141,0.004,0.105
23,D22,1.68,2.107,0.012,0.141,0.006,0.106
24,D23,1.657,2.08,0.012,0.139,0.006,0.105
25,D24,1.916,2.083,0.016,0.139,0.006,0.106
26,D25,2.091,2.063,0.016,0.139,0.006,0.115
27,D26,3.957,2.114,0.028,0.139,0.013,0.107
28,D27,4.006,2.126,0.028,0.139,0.013,0.11
29,D28,4.547,2.175,0.031,0.139,0.015,0.112
30,D29,4.664,2.162,0.033,0.139,0.016,0.117
31,D30,4.889,2.002,0.036,0.139,0.017,0.115
32,D31,5.881,2.023,0.045,0.139,0.02,0.117
33,WAvgCR,AvgCR,TotalCT,MaxCPM,TotalDT,MaxDPM,CV
34,(bits/base),(bits/base),(Hours),(Gigabytes),(Hours),(Gigabytes),%
35,2.026,1.92,0.379,0.144,0.171,0.117,7.985
