,0,1,2,3,4,5,6
0,DataSets,CS,CR,CT,CPM,DT,DCM
1,, (Gigabytes),(bits/base),(Hours), (Gigabytes),(Hours),(Gigabytes)
2,D1,0.006,2.115,0.005,0.123,0.0,0.001
3,D2,0.002,0.416,0.008,0.103,0.0,0.001
4,D3,0.008,1.502,0.008,0.114,0.0,0.001
5,D4,0.015,2.125,0.012,0.122,0.0,0.001
6,D5,0.036,2.155,0.026,0.12,0.0,0.001
7,D6,0.063,2.043,0.05,0.125,0.0,0.001
8,D7,0.245,2.096,0.211,0.11,0.001,0.001
9,D8,0.348,2.129,0.277,0.12,0.002,0.001
10,D9,0.556,2.045,0.48,0.126,0.003,0.001
11,D10,0.716,2.129,0.541,0.122,0.003,0.001
12,D11,0.724,1.899,0.735,0.114,0.004,0.001
13,D12,0.317,0.712,0.712,0.113,0.003,0.001
14,D13,0.992,2.016,1.003,0.12,0.005,0.001
15,D14,0.485,0.953,0.797,0.121,0.005,0.001
16,D15,1.066,2.11,0.821,0.122,0.006,0.001
17,D16,1.144,2.035,1.136,0.118,0.006,0.001
18,D17,1.155,1.916,1.318,0.107,0.008,0.001
19,D18,1.423,2.039,1.275,0.115,0.008,0.001
20,D19,1.4,1.879,1.304,0.123,0.009,0.001
21,D20,1.57,2.057,1.262,0.119,0.008,0.001
22,D21,1.584,2.058,1.371,0.121,0.006,0.001
23,D22,1.641,2.058,1.328,0.115,0.008,0.001
24,D23,1.624,2.039,1.396,0.119,0.008,0.001
25,D24,1.89,2.055,1.566,0.121,0.009,0.001
26,D25,2.029,2.002,1.968,0.114,0.013,0.001
27,D26,3.816,2.039,3.431,0.115,0.022,0.001
28,D27,3.898,2.069,3.108,0.117,0.023,0.001
29,D28,4.481,2.143,3.341,0.122,0.025,0.001
30,D29,4.532,2.101,3.904,0.12,0.024,0.001
31,D30,4.759,1.949,4.926,0.115,0.027,0.001
32,D31,5.73,1.971,5.74,0.112,0.034,0.001
33,WAvgCR,AvgCR,TotalCT,MaxCPM,TotalDT,MaxDPM,CV
34,(bits/base),(bits/base),(Hours),(Gigabytes),(Hours),(Gigabytes),%
35,1.985,1.899,44.06,0.126,0.27,0.001,7.492
