,0,1,2,3,4,5,6
0,DataSets,CS,CR,CT,CPM,DT,DCM
1,, (Gigabytes),(bits/base),(Hours), (Gigabytes),(Hours),(Gigabytes)
2,D1,0.006,2.031,0.002,0.253,0.002,0.252
3,D2,0.002,0.402,0.001,0.253,0.001,0.252
4,D3,0.005,0.913,0.002,0.253,0.002,0.252
5,D4,0.014,2.057,0.005,0.253,0.003,0.252
6,D5,0.034,2.056,0.011,0.253,0.01,0.252
7,D6,0.05,1.613,0.015,0.253,0.016,0.252
8,D7,0.243,2.074,0.073,0.253,0.076,0.252
9,D8,0.34,2.079,0.101,0.253,0.107,0.252
10,D9,0.538,1.976,0.156,0.253,0.17,0.252
11,D10,0.577,1.716,0.166,0.253,0.179,0.252
12,D11,0.731,1.917,0.209,0.253,0.226,0.252
13,D12,0.196,0.44,0.076,0.253,0.079,0.252
14,D13,0.705,1.432,0.216,0.253,0.234,0.252
15,D14,0.323,0.634,0.118,0.253,0.123,0.252
16,D15,1.01,1.999,0.285,0.253,0.311,0.252
17,D16,0.834,1.483,0.251,0.253,0.269,0.252
18,D17,1.168,1.937,0.342,0.253,0.364,0.252
19,D18,1.354,1.939,0.401,0.253,0.434,0.252
20,D19,0.641,0.86,0.238,0.253,0.246,0.252
21,D20,1.429,1.872,0.411,0.253,0.445,0.252
22,D21,1.554,2.018,0.462,0.253,0.504,0.252
23,D22,1.525,1.912,0.438,0.253,0.475,0.252
24,D23,1.551,1.946,0.456,0.253,0.499,0.252
25,D24,1.751,1.904,0.523,0.253,0.557,0.252
26,D25,1.962,1.935,0.573,0.253,0.637,0.252
27,D26,3.666,1.959,1.085,0.253,1.179,0.252
28,D27,3.54,1.879,1.004,0.253,1.079,0.252
29,D28,4.166,1.993,1.19,0.253,1.282,0.252
30,D29,4.441,2.059,1.286,0.253,1.432,0.252
31,D30,4.479,1.834,1.314,0.253,1.441,0.252
32,D31,5.397,1.856,1.595,0.253,1.73,0.252
33,WAvgCR,AvgCR,TotalCT,MaxCPM,TotalDT,MaxDPM,CV
34,(bits/base),(bits/base),(Hours),(Gigabytes),(Hours),(Gigabytes),%
35,1.819,1.701,13.005,0.253,14.112,0.252,8.848
