,0,1,2,3,4,5,6
0,DataSets,CS,CR,CT,CPM,DT,DCM
1,, (Gigabytes),(bits/base),(Hours), (Gigabytes),(Hours),(Gigabytes)
2,D1,0.011,3.737,0.0,0.001,0.0,0.001
3,D2,0.01,2.353,0.0,0.001,0.0,0.001
4,D3,0.02,3.72,0.001,0.001,0.0,0.001
5,D4,0.026,3.748,0.001,0.001,0.0,0.001
6,D5,0.062,3.756,0.001,0.001,0.001,0.001
7,D6,0.117,3.753,0.001,0.001,0.001,0.001
8,D7,0.431,3.682,0.004,0.001,0.003,0.001
9,D8,0.611,3.739,0.006,0.001,0.005,0.001
10,D9,0.979,3.599,0.011,0.001,0.008,0.001
11,D10,1.258,3.739,0.014,0.001,0.009,0.001
12,D11,1.422,3.731,0.015,0.001,0.012,0.001
13,D12,1.444,3.25,0.016,0.001,0.011,0.001
14,D13,1.821,3.7,0.02,0.001,0.014,0.001
15,D14,1.773,3.486,0.019,0.001,0.014,0.001
16,D15,1.88,3.721,0.02,0.001,0.015,0.001
17,D16,2.085,3.708,0.022,0.001,0.016,0.001
18,D17,2.233,3.704,0.024,0.001,0.017,0.001
19,D18,2.545,3.645,0.027,0.001,0.02,0.001
20,D19,2.77,3.719,0.029,0.001,0.021,0.001
21,D20,2.762,3.619,0.029,0.001,0.021,0.001
22,D21,2.825,3.668,0.03,0.001,0.022,0.001
23,D22,2.884,3.617,0.03,0.001,0.023,0.001
24,D23,2.901,3.642,0.031,0.001,0.022,0.001
25,D24,3.384,3.679,0.036,0.001,0.026,0.001
26,D25,3.655,3.606,0.039,0.001,0.029,0.001
27,D26,6.816,3.642,0.072,0.001,0.053,0.001
28,D27,6.911,3.669,0.073,0.001,0.052,0.001
29,D28,7.538,3.606,0.079,0.001,0.054,0.001
30,D29,8.022,3.719,0.084,0.001,0.06,0.001
31,D30,8.712,3.568,0.092,0.001,0.063,0.001
32,D31,10.447,3.593,0.111,0.001,0.077,0.001
33,WAvgCR,AvgCR,TotalCT,MaxCPM,TotalDT,MaxDPM,CV
34,(bits/base),(bits/base),(Hours),(Gigabytes),(Hours),(Gigabytes),%
35,3.635,3.617,0.937,0.001,0.669,0.001,4.5
