,0,1,2,3,4,5,6
0,DataSets,CS,CR,CT,CPM,DT,DCM
1,, (Gigabytes),(bits/base),(Hours), (Gigabytes),(Hours),(Gigabytes)
2,D1,0.005,1.931,0.001,0.165,0.001,0.116
3,D2,0.002,0.391,0.001,0.257,0.0,0.169
4,D3,0.005,0.866,0.001,0.308,0.001,0.23
5,D4,0.013,1.933,0.001,0.398,0.001,0.256
6,D5,0.032,1.951,0.001,0.935,0.001,0.717
7,D6,0.049,1.563,0.002,1.327,0.001,1.002
8,D7,0.226,1.935,0.006,6.265,0.003,4.441
9,D8,0.316,1.937,0.01,6.431,0.005,4.565
10,D9,0.5,1.838,0.014,6.926,0.007,4.904
11,D10,0.367,1.091,0.016,8.817,0.009,6.244
12,D11,0.707,1.855,0.021,9.349,0.011,6.917
13,D12,0.205,0.462,0.02,1.617,0.01,1.317
14,D13,0.602,1.223,0.025,6.201,0.012,4.001
15,D14,0.317,0.623,0.022,2.131,0.012,1.673
16,D15,0.936,1.852,0.024,10.097,0.014,7.107
17,D16,0.705,1.253,0.026,6.576,0.015,4.297
18,D17,1.118,1.854,0.029,10.186,0.016,7.487
19,D18,1.27,1.819,0.032,11.19,0.018,7.86
20,D19,0.623,0.836,0.036,3.321,0.018,2.525
21,D20,1.345,1.762,0.034,10.762,0.021,7.976
22,D21,1.461,1.897,0.038,12.561,0.023,8.772
23,D22,1.436,1.801,0.036,10.866,0.021,7.959
24,D23,1.445,1.814,0.042,12.72,0.024,7.595
25,D24,1.616,1.757,0.044,11.779,0.024,8.748
26,D25,1.835,1.81,0.047,13.559,0.026,9.376
27,D26,3.467,1.852,0.083,12.181,0.046,9.248
28,D27,3.258,1.729,0.084,12.9,0.041,9.696
29,D28,3.95,1.889,0.107,7.919,0.058,5.483
30,D29,4.15,1.924,0.106,13.229,0.057,9.697
31,D30,4.165,1.705,0.107,14.66,0.049,11.2
32,D31,5.024,1.728,0.13,12.968,0.067,10.922
33,WAvgCR,AvgCR,TotalCT,MaxCPM,TotalDT,MaxDPM,CV
34,(bits/base),(bits/base),(Hours),(Gigabytes),(Hours),(Gigabytes),%
35,1.693,1.577,1.146,14.66,0.612,11.2,8.395
