,0,1,2,3,4,5,6
0,DataSets,CS,CR,CT,CPM,DT,DCM
1,, (Gigabytes),(bits/base),(Hours), (Gigabytes),(Hours),(Gigabytes)
2,D1,0.005,1.949,0.006,0.256,0.0,0.025
3,D2,0.002,0.37,0.006,0.368,0.0,0.036
4,D3,0.005,0.877,0.011,0.449,0.0,0.045
5,D4,0.013,1.922,0.018,0.593,0.001,0.057
6,D5,0.033,1.988,0.047,0.783,0.001,0.063
7,D6,0.047,1.526,0.063,1.483,0.001,0.063
8,D7,0.235,2.007,0.073,4.247,0.004,0.064
9,D8,0.319,1.955,0.081,5.94,0.006,0.063
10,D9,0.467,1.718,0.081,10.026,0.008,0.063
11,D10,0.146,0.435,0.075,12.04,0.005,0.063
12,D11,0.608,1.596,0.112,13.49,0.012,0.063
13,D12,0.209,0.469,0.099,13.195,0.006,0.063
14,D13,0.429,0.871,0.149,13.522,0.011,0.063
15,D14,0.339,0.666,0.121,13.455,0.009,0.063
16,D15,0.742,1.47,0.17,13.854,0.015,0.063
17,D16,0.514,0.914,0.162,13.706,0.013,0.063
18,D17,1.009,1.674,0.183,14.32,0.02,0.063
19,D18,1.243,1.78,0.184,14.767,0.023,0.063
20,D19,0.509,0.684,0.145,14.118,0.014,0.063
21,D20,1.185,1.552,0.201,14.768,0.023,0.063
22,D21,1.46,1.896,0.238,14.965,0.026,0.063
23,D22,1.267,1.589,0.236,14.768,0.024,0.063
24,D23,1.477,1.854,0.251,14.997,0.027,0.063
25,D24,1.613,1.754,0.267,14.893,0.031,0.063
26,D25,1.85,1.825,0.274,14.928,0.033,0.063
27,D26,3.353,1.791,0.479,14.897,0.059,0.063
28,D27,2.733,1.45,0.476,14.705,0.056,0.063
29,D28,1.159,0.554,0.265,13.983,0.033,0.063
30,D29,4.236,1.964,0.573,15.08,0.074,0.063
31,D30,4.17,1.707,0.589,14.86,0.074,0.063
32,D31,5.019,1.726,0.706,14.862,0.089,0.063
33,WAvgCR,AvgCR,TotalCT,MaxCPM,TotalDT,MaxDPM,CV
34,(bits/base),(bits/base),(Hours),(Gigabytes),(Hours),(Gigabytes),%
35,1.497,1.437,6.341,15.08,0.698,0.064,9.592
