,0,1,2,3,4,5,6
0,DataSets,CS,CR,CT,CPM,DT,DCM
1,, (Gigabytes),(bits/base),(Hours), (Gigabytes),(Hours),(Gigabytes)
2,D1,0.005,1.916,0.017,0.498,0.017,0.49
3,D2,0.001,0.322,0.024,0.797,0.023,0.796
4,D3,0.005,0.864,0.032,0.815,0.033,0.81
5,D4,0.013,1.915,0.041,0.856,0.044,0.839
6,D5,0.032,1.946,0.05,1.696,0.051,1.656
7,D6,0.049,1.574,0.054,3.285,0.052,3.223
8,D7,0.219,1.873,0.058,12.217,0.057,12.119
9,D8,0.312,1.909,0.107,13.319,0.109,12.885
10,D9,0.495,1.82,0.159,14.314,0.161,12.856
11,D10,0.52,1.546,0.168,14.282,0.174,12.809
12,D11,0.663,1.74,0.204,14.302,0.205,12.876
13,D12,0.182,0.409,0.201,14.23,0.199,12.829
14,D13,0.641,1.302,0.224,14.18,0.226,12.84
15,D14,0.298,0.585,0.247,14.356,0.246,12.895
16,D15,0.932,1.845,0.255,14.313,0.257,12.879
17,D16,0.759,1.349,0.273,14.187,0.278,12.837
18,D17,1.067,1.77,0.279,14.274,0.282,12.927
19,D18,1.244,1.782,0.327,14.301,0.338,12.93
20,D19,0.564,0.757,0.334,14.394,0.334,12.942
21,D20,1.315,1.723,0.377,14.266,0.381,12.873
22,D21,1.431,1.858,0.378,14.267,0.383,12.865
23,D22,1.403,1.759,0.379,14.266,0.388,12.814
24,D23,1.422,1.784,0.384,14.342,0.388,12.852
25,D24,1.614,1.754,0.438,14.278,0.443,12.865
26,D25,1.801,1.776,0.486,14.347,0.488,12.857
27,D26,3.366,1.798,0.831,14.271,0.846,12.927
28,D27,3.221,1.709,0.877,14.256,0.884,12.918
29,D28,3.882,1.857,0.942,14.317,0.965,12.933
30,D29,4.065,1.884,0.981,14.309,0.996,13.052
31,D30,4.11,1.683,1.064,14.251,0.996,13.007
32,D31,4.95,1.703,1.199,14.117,1.158,12.963
33,WAvgCR,AvgCR,TotalCT,MaxCPM,TotalDT,MaxDPM,CV
34,(bits/base),(bits/base),(Hours),(Gigabytes),(Hours),(Gigabytes),%
35,1.669,1.565,11.39,14.394,11.402,13.052,8.25
