,0,1,2,3,4,5,6
0,DataSets,CS,CR,CT,CPM,DT,DCM
1,, (Gigabytes),(bits/base),(Hours), (Gigabytes),(Hours),(Gigabytes)
2,D1,0.006,2.078,0.005,0.113,0.0,0.01
3,D2,0.002,0.378,0.006,0.118,0.0,0.01
4,D3,0.005,0.918,0.009,0.13,0.0,0.01
5,D4,0.014,2.075,0.013,0.155,0.0,0.01
6,D5,0.035,2.117,0.031,0.224,0.0,0.01
7,D6,0.051,1.641,0.055,0.22,0.0,0.01
8,D7,0.244,2.089,0.217,0.226,0.001,0.011
9,D8,0.34,2.083,0.312,0.225,0.001,0.011
10,D9,0.536,1.97,0.524,0.225,0.002,0.011
11,D10,0.4,1.189,0.717,0.212,0.002,0.011
12,D11,0.652,1.711,0.784,0.22,0.003,0.011
13,D12,0.23,0.518,0.759,0.211,0.002,0.011
14,D13,0.48,0.975,1.013,0.214,0.003,0.011
15,D14,0.361,0.71,0.893,0.211,0.002,0.011
16,D15,0.97,1.921,1.031,0.214,0.003,0.011
17,D16,0.584,1.038,1.145,0.218,0.003,0.011
18,D17,1.087,1.803,1.209,0.219,0.004,0.011
19,D18,1.375,1.97,1.376,0.226,0.004,0.011
20,D19,0.547,0.734,1.443,0.215,0.003,0.011
21,D20,1.438,1.884,1.421,0.219,0.004,0.011
22,D21,1.59,2.064,1.536,0.226,0.004,0.011
23,D22,1.538,1.928,1.499,0.223,0.003,0.011
24,D23,1.551,1.947,1.571,0.227,0.006,0.011
25,D24,1.758,1.911,1.828,0.22,0.006,0.011
26,D25,2.001,1.974,2.001,0.226,0.006,0.011
27,D26,3.707,1.98,3.72,0.227,0.008,0.011
28,D27,3.357,1.781,3.738,0.218,0.006,0.011
29,D28,1.194,0.571,2.427,0.213,0.005,0.011
30,D29,4.444,2.06,4.167,0.228,0.009,0.011
31,D30,4.534,1.856,4.323,0.215,0.01,0.011
32,D31,5.467,1.88,5.209,0.218,0.011,0.011
33,WAvgCR,AvgCR,TotalCT,MaxCPM,TotalDT,MaxDPM,CV
34,(bits/base),(bits/base),(Hours),(Gigabytes),(Hours),(Gigabytes),%
35,1.666,1.605,44.982,0.228,0.111,0.011,9.955
